,speed,ec_fac_fuel,co2_fac_fuel,ec_fac_segment,co2_fac_segment,ec_fac_standard,co2_fac_standard
0,10.0,1.547,0.113,7.363,0.537,4.194,0.306
1,11.212121212121213,1.535,0.112,7.035,0.514,4.036,0.295
2,12.424242424242424,1.523,0.111,6.739,0.492,3.887,0.284
3,13.636363636363637,1.512,0.11,6.471,0.472,3.748,0.274
4,14.848484848484848,1.501,0.11,6.227,0.455,3.617,0.264
5,16.060606060606062,1.49,0.109,6.004,0.438,3.494,0.255
6,17.272727272727273,1.479,0.108,5.8,0.423,3.379,0.247
7,18.484848484848484,1.469,0.107,5.612,0.41,3.271,0.239
8,19.696969696969695,1.46,0.107,5.438,0.397,3.17,0.231
9,20.90909090909091,1.451,0.106,5.278,0.385,3.075,0.224
10,22.12121212121212,1.442,0.105,5.129,0.374,2.987,0.218
11,23.333333333333336,1.433,0.105,4.99,0.364,2.904,0.212
12,24.545454545454547,1.425,0.104,4.861,0.355,2.826,0.206
13,25.757575757575758,1.418,0.104,4.741,0.346,2.753,0.201
14,26.96969696969697,1.41,0.103,4.628,0.338,2.685,0.196
15,28.181818181818183,1.403,0.102,4.523,0.33,2.621,0.191
16,29.393939393939394,1.397,0.102,4.424,0.323,2.562,0.187
17,30.606060606060606,1.391,0.102,4.331,0.316,2.507,0.183
18,31.81818181818182,1.385,0.101,4.244,0.31,2.455,0.179
19,33.03030303030303,1.38,0.101,4.161,0.304,2.407,0.176
20,34.24242424242424,1.375,0.1,4.084,0.298,2.362,0.172
21,35.45454545454545,1.37,0.1,4.01,0.293,2.32,0.169
22,36.66666666666667,1.366,0.1,3.941,0.288,2.282,0.167
23,37.878787878787875,1.362,0.099,3.876,0.283,2.246,0.164
24,39.09090909090909,1.359,0.099,3.814,0.278,2.213,0.162
25,40.303030303030305,1.356,0.099,3.755,0.274,2.182,0.159
26,41.515151515151516,1.353,0.099,3.699,0.27,2.154,0.157
27,42.72727272727273,1.351,0.099,3.647,0.266,2.127,0.155
28,43.93939393939394,1.349,0.098,3.597,0.263,2.104,0.154
