departure,emissions,distance,time,routetype,fuel,segment,standard,startLat,startLon,destLat,destLon
2020-07-01T01:00:00+02:00,101.812,45090,2513,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-01T02:00:00+02:00,101.812,45090,2513,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-01T03:00:00+02:00,101.812,45090,2513,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-01T04:00:00+02:00,101.581,45090,2539,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-01T05:00:00+02:00,101.475,45090,2560,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-01T06:00:00+02:00,101.564,45090,2648,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-01T07:00:00+02:00,102.747,45373,2975,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-01T08:00:00+02:00,103.434,45373,3178,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-01T09:00:00+02:00,103.924,45373,3086,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-01T10:00:00+02:00,104.254,45392,3087,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-01T11:00:00+02:00,104.348,45392,3160,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-01T12:00:00+02:00,102.949,44824,3138,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-01T13:00:00+02:00,102.688,44805,3128,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-01T14:00:00+02:00,129.416,58467,3042,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-01T15:00:00+02:00,128.398,58467,3117,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-01T16:00:00+02:00,126.716,58467,3265,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-01T17:00:00+02:00,125.987,58467,3332,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-01T18:00:00+02:00,101.063,44805,3243,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-01T19:00:00+02:00,102.278,44805,2956,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-01T20:00:00+02:00,103.457,45373,2805,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-01T21:00:00+02:00,101.848,45090,2622,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-01T22:00:00+02:00,101.812,45090,2513,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-01T23:00:00+02:00,101.812,45090,2513,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
2020-07-02T00:00:00+02:00,101.812,45090,2513,fastest,Petrol,Small,Euro 5,52.3731,4.8965,52.0859,5.1201
