Category,Fuel,Segment,Euro Standard,Technology,Pollutant,Mode,Road Slope,Load,Min Speed [km/h],Max Speed [km/h],Alpha,Beta,Gamma,Delta,Epsilon,Zita,Hta,Reduction Factor [%],Bio Reduction Factor [%]
Passenger Cars,Petrol,Mini,Euro 4,GDI,EC,,,,5.0,130.0,0.0,-0.3,17.9,0.0,0.0,0.1,3.7,0.0%,0.0%
Passenger Cars,Petrol,Mini,Euro 4,PFI,EC,,,,5.0,130.0,0.0,-0.3,17.9,0.0,0.0,0.1,3.7,0.0%,0.0%
Passenger Cars,Petrol,Mini,Euro 5,GDI,EC,,,,5.0,130.0,0.0,-0.3,17.9,0.0,0.0,0.1,3.7,0.0%,0.0%
Passenger Cars,Petrol,Mini,Euro 5,PFI,EC,,,,5.0,130.0,0.0,-0.3,17.9,0.0,0.0,0.1,3.7,0.0%,0.0%
Passenger Cars,Petrol,Mini,Euro 6 up to 2016,GDI,EC,,,,5.0,130.0,0.0,-0.3,17.9,0.0,0.0,0.1,3.7,0.0%,0.0%
Passenger Cars,Petrol,Mini,Euro 6 up to 2016,PFI,EC,,,,5.0,130.0,0.0,-0.3,17.9,0.0,0.0,0.1,3.7,0.0%,0.0%
Passenger Cars,Petrol,Mini,Euro 6 up to 2016,GDI+GPF,EC,,,,5.0,130.0,0.0,-0.3,17.9,0.0,0.0,0.1,3.7,0.0%,0.0%
Passenger Cars,Petrol,Mini,Euro 6 2017-2019,GDI,EC,,,,5.0,130.0,0.0,-0.3,17.9,0.0,0.0,0.1,3.7,0.0%,0.0%
Passenger Cars,Petrol,Mini,Euro 6 2017-2019,PFI,EC,,,,5.0,130.0,0.0,-0.3,17.9,0.0,0.0,0.1,3.7,0.0%,0.0%
Passenger Cars,Petrol,Mini,Euro 6 2017-2019,GDI+GPF,EC,,,,5.0,130.0,0.0,-0.3,17.9,0.0,0.0,0.1,3.7,0.0%,0.0%
Passenger Cars,Petrol,Mini,Euro 6 2020+,GDI,EC,,,,5.0,130.0,0.0,-0.3,17.9,0.0,0.0,0.1,3.7,0.0%,0.0%
Passenger Cars,Petrol,Mini,Euro 6 2020+,PFI,EC,,,,5.0,130.0,0.0,-0.3,17.9,0.0,0.0,0.1,3.7,0.0%,0.0%
Passenger Cars,Petrol,Mini,Euro 6 2020+,GDI+GPF,EC,,,,5.0,130.0,0.0,-0.3,17.9,0.0,0.0,0.1,3.7,0.0%,0.0%
Passenger Cars,Petrol,Small,PRE ECE,,EC,,,,10.0,130.0,0.0,-0.1,3.0,45.6,0.0,0.0,1.2,0.0%,0.0%
Passenger Cars,Petrol,Small,ECE 15/00-01,,EC,,,,10.0,130.0,0.0,-0.1,8.5,84.9,0.0,0.0,2.5,0.0%,0.0%
Passenger Cars,Petrol,Small,ECE 15/02,,EC,,,,10.0,130.0,0.0,-0.1,22.8,50.5,0.0,0.2,2.9,0.0%,0.0%
Passenger Cars,Petrol,Small,ECE 15/03,,EC,,,,10.0,130.0,0.0,-0.1,22.8,50.5,0.0,0.2,2.9,0.0%,0.0%
Passenger Cars,Petrol,Small,ECE 15/04,,EC,,,,10.0,130.0,0.0,0.1,1.9,-18.6,0.0,0.1,-0.6,0.0%,0.0%
Passenger Cars,Petrol,Small,Improved Conventional,,EC,,,,10.0,130.0,0.1,-7.3,417.4,0.0,0.0,0.0,118.4,0.0%,0.0%
Passenger Cars,Petrol,Small,Open Loop,,EC,,,,10.0,130.0,0.1,-6.5,402.8,0.0,0.0,0.0,107.5,0.0%,0.0%
Passenger Cars,Petrol,Small,Euro 1,,EC,,,,5.0,130.0,0.0,0.1,12.2,0.0,0.0,0.2,1.5,0.0%,0.0%
Passenger Cars,Petrol,Small,Euro 2,,EC,,,,5.0,130.0,0.0,0.0,17.5,0.0,0.0,0.2,1.9,0.0%,0.0%
